,day,edges,num_infected,num_new_infections,num_new_removed,Average deaths,0-49 deaths,50-59 deaths,60-69 deaths,70-79 deaths,80-89 deaths,90+ deaths
104,104,0,0,0,0,0.0005421010019735085,6.224813133409992e-06,3.1544665356667265e-05,3.869479307742824e-05,0.0001381797710813886,0.00021534568111176926,0.00012120727869616206
105,105,0,0,0,0,0.0004578867654140781,5.2578016653499215e-06,2.664426875001376e-05,3.268363935150321e-05,0.00011671383781948208,0.00018189218800775838,0.00010237798599298753
106,106,0,0,0,0,0.000386543966015579,4.438589760090036e-06,2.2492856514211485e-05,2.7591239871997557e-05,9.852879176108764e-05,0.00015355177972044647,8.642659217859123e-05
107,107,0,0,0,0,0.0003261429961814212,3.745020205845343e-06,1.897814546645405e-05,2.3279860588616437e-05,8.313278224552938e-05,0.0001295579336633536,7.292166015014051e-05
108,108,0,0,0,0,0.00027503680108057903,3.1581802750866813e-06,1.6004294069316445e-05,1.9631935871262016e-05,7.010598038726563e-05,0.00010925636928151974,6.149492821248047e-05
109,109,0,0,0,0,0.00023182070395878567,2.661940408421378e-06,1.3489564679838542e-05,1.654720086864426e-05,5.909033867920567e-05,9.208908894850949e-05,5.18323274998229e-05
110,110,0,0,0,0,0.0001952977291264552,2.2425560269503327e-06,1.1364305706470795e-05,1.394021628723924e-05,4.9780751935830917e-05,7.75806027755203e-05,4.3666228611978474e-05
111,111,0,0,0,0,0.0001644487088923941,1.8883242775037636e-06,9.569212142131526e-06,1.1738234644975603e-05,4.191743764843915e-05,6.532605380816888e-05,3.676875788345895e-05
112,112,0,0,0,0,0.000138406546349073,1.5892884985033304e-06,8.053827924794947e-06,9.879363166719585e-06,3.527937565334938e-05,5.4980994105089885e-05,3.094604285111645e-05
113,113,0,0,0,0,0.00011643408257900202,1.336984074509669e-06,6.775258038066985e-06,8.31098396083549e-06,2.967866655524874e-05,4.6252592646608834e-05,2.603326362708828e-05
114,114,0,0,0,0,9.790508524029082e-05,1.1242201328031665e-06,5.6970622437105924e-06,6.988396997624736e-06,2.4955685779876754e-05,3.8892083188598445e-05,2.1890402174669556e-05
115,115,0,0,0,0,8.228793627720116e-05,9.448922333564658e-07,4.788305875298711e-06,5.873655749432654e-06,2.0974925624836242e-05,3.2688284324111465e-05,1.839859507614441e-05
116,116,0,0,0,0,6.913165037110979e-05,7.938218221286771e-07,4.022746256826415e-06,4.9345691973871924e-06,1.7621431408505978e-05,2.7462045414693493e-05,1.5457007426203246e-05
117,117,0,0,0,0,5.805390334564519e-05,6.666187641714529e-07,3.378136079844721e-06,4.143847307270863e-06,1.4797749949693559e-05,2.306149096137572e-05,1.2980156126993354e-05
118,118,0,0,0,0,4.87307916684579e-05,5.595637544940502e-07,2.8356275124946053e-06,3.478370069868252e-06,1.242131929815435e-05,1.9357952641217624e-05,1.0895620235603308e-05
119,119,0,0,0,0,4.088808106936395e-05,4.695078280872597e-07,2.3792629596954655e-06,2.9185628334062104e-06,1.0422238035999922e-05,1.6242492884500715e-05,9.142084260098549e-06
120,120,0,0,0,0,3.4293734597543275e-05,3.9378656143287486e-07,1.9955402734391723e-06,2.447862961465299e-06,8.741360703933908e-06,1.3622936699783293e-05,7.667667522776081e-06
121,121,0,0,0,0,2.8751538739374553e-05,3.301468827747177e-07,1.6730418588437629e-06,2.052264869696972e-06,7.328673119550146e-06,1.1421339695558432e-05,6.428499036600512e-06
122,122,0,0,0,0,2.40956708943356e-05,2.7668469177394166e-07,1.4021185574996372e-06,1.7199322560257688e-06,6.141907644720569e-06,9.571830049558379e-06,5.3875028580069995e-06
123,123,0,0,0,0,2.018607303742052e-05,2.3179173640680534e-07,1.1746204425237183e-06,1.4408678758852598e-06,5.145363947287567e-06,8.018770729790443e-06,4.513363693334912e-06
124,124,0,0,0,0,1.690451510103642e-05,1.9411040974242905e-07,9.836677481459087e-07,1.2066325491514785e-06,4.308905569994203e-06,6.71519570162088e-06,3.7796467182603183e-06
125,125,0,0,0,0,1.4151247867213229e-05,1.62495315923201e-07,8.234561026919244e-07,1.0101062459131421e-06,3.6071067636637026e-06,5.6214803135439065e-06,3.1640492046602104e-06
126,126,0,0,0,0,1.1842159249566482e-05,1.359806164465204e-07,6.890910536376234e-07,8.452851038528806e-07,3.0185276327794167e-06,4.7042116508697295e-06,2.647764699384711e-06
127,127,0,0,0,0,9.906360025997003e-06,1.1375230772424836e-07,5.764475822496487e-07,7.071090995238428e-07,2.5250987466519728e-06,3.935229485594973e-06,2.214943223060516e-06
128,128,0,0,0,0,8.28413564094067e-06,9.512470212921188e-08,4.820509196835682e-07,5.91315849416586e-07,2.1115990605165734e-06,3.2908126447400108e-06,1.852233317652811e-06
129,129,0,0,0,0,6.925209766052391e-06,7.952048888750935e-08,4.029755041949213e-07,4.943166641265084e-07,1.7652133028348086e-06,2.7509892224573064e-06,1.548393799471919e-06
130,130,0,0,0,0,5.787273163177998e-06,6.645384137205867e-08,3.3675937619645353e-07,4.1309153961436435e-07,1.4751569872812713e-06,2.2989521815444495e-06,1.2939648305878135e-06
131,131,0,0,0,0,4.834738130745264e-06,5.551611471533843e-08,2.8133169993463925e-07,3.451002504545868e-07,1.232358925205396e-06,1.920564566330132e-06,1.0809894279900995e-06
132,132,0,0,0,0,4.0376846145086465e-06,4.636374425699575e-08,2.34951438047081e-07,2.8820712395208367e-07,1.029192592709715e-06,1.6039408528309029e-06,9.027778265974708e-07
133,133,0,0,0,0,3.3709690411538032e-06,3.870801249822837e-08,1.961554949055023e-07,2.406174293037691e-07,8.592489752524812e-07,1.339092939380747e-06,7.537082251458928e-07
134,134,0,0,0,0,2.8134712076600446e-06,3.230640131664792e-08,1.6371489337441148e-07,2.0082362108422679e-07,7.171446022111228e-07,1.117630978906606e-06,6.290583996875609e-07
135,135,0,0,0,0,2.347458211264857e-06,2.69552881297325e-08,1.365977621209586e-07,1.6755993700827438e-07,5.98359414712086e-07,9.325107047320124e-07,5.248634859639644e-07
136,136,0,0,0,0,1.958047537421856e-06,2.2483780665250066e-08,1.1393809289331886e-07,1.3976407352224227e-07,4.990999085086559e-07,7.778201461725721e-07,4.3779593231635926e-07
137,137,0,0,0,0,1.6327541060553807e-06,1.8748515804254692e-08,9.500938330263099e-08,1.1654485428016555e-07,4.161836775537912e-07,6.485996959542907e-07,3.650642246638544e-07
138,138,0,0,0,0,1.361108349182335e-06,1.5629274059888633e-08,7.920241289504338e-08,9.715496878964295e-08,3.469420632359812e-07,5.406903943260181e-07,3.0432749324281527e-07
139,139,0,0,0,0,1.1343343545814815e-06,1.3025283779907146e-08,6.600651444579433e-08,8.096799853045377e-08,2.8913811425399934e-07,4.5060607397247633e-07,2.5362354939367474e-07
140,140,0,0,0,0,9.450787713709155e-07,1.0852108235771426e-08,5.499379907075444e-08,6.745906642292978e-08,2.4089748553590544e-07,3.754256697261915e-07,2.1130827210125475e-07
141,141,0,0,0,0,7.871825827809599e-07,9.03902494525545e-09,4.580587576489274e-08,5.6188546126969334e-08,2.0065026386585578e-07,3.127025569610947e-07,1.7600457912556872e-07
142,142,0,0,0,0,6.554890649072059e-07,7.52682050980678e-09,3.814267659011449e-08,4.67883542711857e-08,1.670820171988124e-07,2.6038826460360803e-07,1.4655948888354375e-07
143,143,0,0,0,0,5.4568227298622e-07,6.265935991978911e-09,3.175305824883357e-08,3.895042171542482e-08,1.390926253408631e-07,2.1676831498012708e-07,1.2200800791847294e-07
144,144,0,0,0,0,4.5415126377405455e-07,5.214907814233538e-09,2.6426901232254426e-08,3.2417001838429265e-08,1.1576167067790974e-07,1.8040828714419875e-07,1.0154277265321499e-07
145,145,0,0,0,0,3.7787600694195216e-07,4.339057707419136e-09,2.198847104488484e-08,2.6972526972488824e-08,9.631935736385116e-08,1.5010849600806853e-07,8.448854054736514e-08
146,146,0,0,0,0,3.143315660430599e-07,3.609392444262236e-09,1.8290842528916827e-08,2.2436768907382605e-08,8.012208736261834e-08,1.2486592892846138e-07,7.028076611126439e-08
147,147,0,0,0,0,2.614076546164628e-07,3.001680121797635e-09,1.521121886240406e-08,1.865909686094652e-08,6.66319555623893e-08,1.0384228995386228e-07,5.8447614616207705e-08
148,148,0,0,0,0,2.1734113290156487e-07,2.495675037660199e-09,1.2647003566973383e-08,1.5513659141421143e-08,5.5399543409026046e-08,8.63371846351582e-08,4.8594869169835844e-08
149,149,0,0,0,0,1.8065938693603832e-07,2.0744675261238574e-09,1.0512505757582945e-08,1.2895341586781757e-08,4.604948642346486e-08,7.176562778402134e-08,4.0393270961901385e-08
150,150,0,0,0,0,1.5013285186544e-07,1.7239387948852333e-09,8.736177490719407e-09,1.071637871154734e-08,3.826837254873091e-08,5.963918370288398e-08,3.356790404603101e-08
151,151,0,0,0,0,1.2473522556881304e-07,1.432304067863628e-09,7.25829860935932e-09,8.903513783004266e-09,3.179460073332653e-08,4.955016133701755e-08,2.7889299583856123e-08
152,152,0,0,0,0,1.0361013149690509e-07,1.1897297827311316e-09,6.029036865329165e-09,7.395619237748233e-09,2.6409883397807398e-08,4.1158371329428656e-08,2.3165982055692775e-08
153,153,0,0,0,0,8.604320302046586e-08,9.880130423161103e-10,5.006823517417173e-09,6.1417040818507405e-09,2.193213082653263e-08,3.418003673121035e-08,1.9238227655815514e-08
154,154,0,0,0,0,7.143871405700631e-08,8.203132698096451e-10,4.15699347581916e-09,5.0992458012252675e-09,1.8209494390914827e-08,2.8378509687954308e-08,1.5972839181039063e-08
155,155,0,0,0,0,5.930002064904815e-08,6.809276241952367e-10,3.4506472045021135e-09,4.232794295064358e-09,1.5115381171731386e-08,2.3556501998930635e-08,1.3258773002320679e-08
156,156,0,0,0,0,4.921320289797277e-08,5.65103164578622e-10,2.863698851126974e-09,3.5128042484370983e-09,1.2544284341603419e-08,1.9549586994258202e-08,1.1003481597469639e-08
157,157,0,0,0,0,4.083338385980891e-08,4.688797534163777e-10,2.376080148438751e-09,2.914658584570772e-09,1.0408295896310839e-08,1.6220764815739233e-08,9.12985462042198e-09
158,158,0,0,0,0,3.3873292804649995e-08,3.889587312228054e-10,1.9710749143815555e-09,2.417852118249955e-09,8.634191467050853e-09,1.3455919254825897e-08,7.573661783289877e-09
159,159,0,0,0,0,2.8093709402646263e-08,3.2259318949634054e-10,1.6347630026650268e-09,2.0053094684483187e-09,7.160994574723956e-09,1.1160021774991333e-08,6.281416291021608e-09
160,160,0,0,0,0,2.329548086309959e-08,2.674963054814826e-10,1.3555557829148474e-09,1.6628152472606547e-09,5.9379418248175e-09,9.253960378283009e-09,5.208589969499456e-09
161,161,0,0,0,0,1.93128539351918e-08,2.2176477516506342e-10,1.123808132156138e-09,1.3785381027452188e-09,4.922783256215989e-09,7.671890791098798e-09,4.318122380920181e-09
162,162,0,0,0,0,1.6007911171256465e-08,1.8381492624905214e-10,9.314946829432664e-10,1.1426335832596206e-09,4.080364162919434e-09,6.359026310228776e-09,3.5791768390288015e-09
163,163,0,0,0,0,1.3265924416174481e-08,1.5232936340645722e-10,7.719394445530194e-10,9.469124727604912e-10,3.3814407136985387e-09,5.269792010305023e-09,2.966101505106713e-09
