,day,edges,num_infected,num_new_infections,num_new_removed,0-49 deaths,50-59 deaths,60-69 deaths,70-79 deaths,80-89 deaths,90+ deaths
150,150,9078,472,0,0,7.396365207832356e-10,4.039600173466171e-09,4.829501587980009e-09,1.982901483718686e-08,2.7048373547549005e-08,2.761918655684817e-09
151,151,9078,472,0,0,6.157764421648735e-10,3.362856684703144e-09,4.021352030985972e-09,1.6508702440345473e-08,2.2517921258358517e-08,2.2974175931297147e-09
152,152,9078,472,0,0,5.125230228867635e-10,2.7987526189439147e-09,3.3475447733161205e-09,1.3740743381479542e-08,1.874136939422416e-08,1.9105591450038847e-09
153,153,9078,472,0,0,4.2647258476990334e-10,2.3286738842402493e-09,2.785910032338523e-09,1.1433912156308744e-08,1.5594162920413098e-08,1.5884524449339863e-09
154,154,9078,472,0,0,3.547791468598898e-10,1.9370579837435597e-09,2.317906933433777e-09,9.511929167265269e-09,1.297216081214007e-08,1.3203309404849722e-09
155,155,9078,472,0,0,2.950638744708303e-10,1.6108982371179935e-09,1.928034942664155e-09,7.911034173607403e-09,1.0788320646363267e-08,1.0972052336362934e-09
156,156,9078,472,0,0,2.4533906083778047e-10,1.3393276257720952e-09,1.6033396884611502e-09,6.577949305498177e-09,8.969915265933264e-09,9.115720894734373e-10
157,157,9078,472,0,0,2.0394437627847512e-10,1.1132698482372386e-09,1.3329983781621359e-09,5.468170845821195e-09,7.456198734007896e-09,7.571706866498107e-10
158,158,9078,472,0,0,1.6949339749851543e-10,9.251466666256538e-10,1.1079720156271123e-09,4.544536077571244e-09,6.196449044486229e-09,6.28778532938848e-10
159,159,9078,472,0,0,1.4082879100736129e-10,7.686326763603424e-10,9.207138558834948e-10,3.776022397946418e-09,5.1483273963878935e-09,5.22040567004983e-10
160,160,9078,472,0,0,1.1698476095675835e-10,6.384498010336852e-10,7.649250115642564e-10,3.1367410311025994e-09,4.276503688262548e-09,4.333261553152059e-10
161,161,9078,472,0,0,9.715559986406035e-11,5.301952668897627e-10,6.353497890747607e-10,2.6050939278660743e-09,3.551505458687009e-09,3.596093949906562e-10
162,162,9078,472,0,0,8.066935438840324e-11,4.401975263536291e-10,5.276042406972698e-10,2.1630682707090017e-09,2.9487540856630097e-09,2.983692672001943e-10
163,163,9078,472,0,0,6.696578771441613e-11,3.653957220334203e-10,4.3803266534530243e-10,1.7956456796200541e-09,2.4477581488786744e-09,2.4750577176999826e-10
164,164,9078,472,0,0,5.557794329960173e-11,3.0323885126638764e-10,3.635875530703495e-10,1.4903081193839406e-09,2.03143891876793e-09,2.0527033330702045e-10
165,165,9078,472,0,0,4.611672140064801e-11,2.5160144445755565e-10,3.017291034156538e-10,1.2366246297556463e-09,1.6855658220044272e-09,1.7020718541002952e-10
166,166,9078,472,0,0,3.8257997810638964e-11,2.087130881456636e-10,2.5034128704056733e-10,1.0259058009774575e-09,1.3982851047894788e-09,1.411048151281282e-10
167,167,9078,472,0,0,3.1731836876580805e-11,1.7309950352729872e-10,2.0766159190155612e-10,8.509150082161699e-10,1.1597252830007213e-09,1.1695507408371517e-10
168,168,9078,472,0,0,2.6313503422406543e-11,1.4353335939565362e-10,1.7222239263829098e-10,7.056271515133167e-10,9.616680762011918e-10,9.691945234767475e-11
169,169,9078,472,0,0,2.181593933371319e-11,1.1899317410985016e-10,1.428019462617162e-10,5.85027257222138e-10,7.97273370629422e-10,8.030057140538573e-11
170,170,9078,472,0,0,1.8083485057787402e-11,9.862899664250214e-11,1.1838342641378486e-10,4.849420216593135e-10,6.608493782035409e-10,6.651862626057584e-11
171,171,9078,472,0,0,1.4986652606965363e-11,8.173382264053725e-11,9.812084911616559e-11,4.0189976938868663e-10,5.476614687329811e-10,5.509169686512823e-11
172,172,9078,472,0,0,1.2417739944516145e-11,6.77196672616295e-11,8.131045815295554e-11,3.330128831516842e-10,4.537717776261023e-10,4.561924499397425e-11
173,173,9078,472,0,0,1.0287197790877247e-11,5.609766768778236e-11,6.73670400112944e-11,2.758804246000041e-10,3.7590628772235706e-10,3.7768562605828696e-11
