,day,edges,num_infected,num_new_infections,num_new_removed,0-49 deaths,0-49 cases,50-59 deaths,50-59 cases,60-69 deaths,60-69 cases,70-79 deaths,70-79 cases,80-89 deaths,80-89 cases,90+ deaths,90+ cases
117,117,9846,100,0,0,4.614267466842727e-09,0,2.4220782682759297e-08,0,2.2903007189410956e-08,0,7.707156568014541e-08,0,1.2563589417044557e-07,0,1.4078906339100512e-07,0
118,118,9846,100,0,0,3.864605310364161e-09,0,2.0279225612820385e-08,0,1.9180780603450188e-08,0,6.455067067176637e-08,0,1.0521841420175543e-07,0,1.1804950508263125e-07,0
119,119,9846,100,0,0,3.2355434148380862e-09,0,1.6972937671149063e-08,0,1.6057587656586253e-08,0,5.4043929050872175e-08,0,8.80866052985354e-08,0,9.894393805433807e-08,0
120,120,9846,100,0,0,2.7078965575332983e-09,0,1.420064563899499e-08,0,1.3438092126875211e-08,0,4.523094948149415e-08,0,7.371759177710323e-08,0,8.289862540277373e-08,0
121,121,9846,100,0,0,2.265492481644149e-09,0,1.1877019631171377e-08,0,1.124193744135533e-08,0,3.784165265154135e-08,0,6.167064679319004e-08,0,6.942914740527203e-08,0
122,122,9846,100,0,0,1.8947057702392867e-09,0,9.930199533757091e-09,0,9.401427857873869e-09,0,3.164848839638494e-08,0,5.1574477657631866e-08,0,5.8126725036335923e-08,0
123,123,9846,100,0,0,1.5840625555927577e-09,0,8.299698597457738e-09,0,7.859562317887744e-09,0,2.6459835510622464e-08,0,4.311644396511632e-08,0,4.864659662045851e-08,0
124,124,9846,100,0,0,1.3239055435461733e-09,0,6.934627991769204e-09,0,6.568368450737243e-09,0,2.2114408495103238e-08,0,3.603342225192893e-08,0,4.069814646174481e-08,0
125,125,9846,100,0,0,1.106110322425516e-09,0,5.7921940015875876e-09,0,5.487491861772764e-09,0,1.8476520505241044e-08,0,3.0104069380005094e-08,0,3.403652820314697e-08,0
126,126,9846,100,0,0,9.238452714266501e-10,0,4.836426914517886e-09,0,4.58300230304358e-09,0,1.5432074251076606e-08,0,2.5142276165285115e-08,0,2.845556069002572e-08,0
127,127,9846,100,0,0,7.713684918746787e-10,0,4.037106492758552e-09,0,3.826384097141904e-09,0,1.2885171050944404e-08,0,2.0991630394373612e-08,0,2.378170812682468e-08,0
128,128,9846,100,0,0,6.438561581281256e-10,0,3.368854179135647e-09,0,3.193682833078379e-09,0,1.0755244509200878e-08,0,1.7520737302470774e-08,0,1.986898154724913e-08,0
129,129,9846,100,0,0,5.372575094726681e-10,0,2.8103665762497957e-09,0,2.6647845686939276e-09,0,8.974638909588676e-09,0,1.4619266576829055e-08,0,1.6594624227879666e-08,0
130,130,9846,100,0,0,4.4817242770386013e-10,0,2.3437686699541772e-09,0,2.222807393718336e-09,0,7.486564964719235e-09,0,1.2194615245829201e-08,0,1.3855461977962344e-08,0
131,131,9846,100,0,0,3.7374813318342534e-10,0,1.9540682878669213e-09,0,1.8535880248330797e-09,0,6.243374549109393e-09,0,1.0169092112791631e-08,0,1.1564818566750307e-08,0
132,132,9846,100,0,0,3.115920621852737e-10,0,1.6286962398568855e-09,0,1.5452488883692902e-09,0,5.205105784758216e-09,0,8.47754322262849e-09,0,9.649909723476595e-09,0
133,133,9846,100,0,0,2.5969843919786913e-10,0,1.3571189414591485e-09,0,1.287833274569836e-09,0,4.338256822944537e-09,0,7.065350911041616e-09,0,8.049642876646006e-09,0
134,134,9846,100,0,0,2.1638641124466598e-10,0,1.130512147915528e-09,0,1.0729979773810254e-09,0,3.6147525811999124e-09,0,5.8867478589069335e-09,0,6.7127609213962576e-09,0
135,135,9846,100,0,0,1.802479590839019e-10,0,9.41486391164194e-10,0,8.937545153946339e-10,0,3.011074850559911e-09,0,4.903397926243486e-09,0,5.596276384271073e-09,0
136,136,9846,100,0,0,1.5010406142892196e-10,0,7.83856018757391e-10,0,7.442513989658733e-10,0,2.5075302233729068e-09,0,4.083201679277224e-09,0,4.664151929079908e-09,0
137,137,9846,100,0,0,1.2496781755795908e-10,0,6.524449609047929e-10,0,6.19590952198314e-10,0,2.087634152327996e-09,0,3.399291782330544e-09,0,3.88618863656291e-09,0
138,138,9846,100,0,0,1.0401344283721119e-10,0,5.429235047179649e-10,0,5.15675323087439e-10,0,1.7375931198994203e-09,0,2.829188366335154e-09,0,3.2370899514540557e-09,0
139,139,9846,100,0,0,8.655021446195703e-11,0,4.516711931608437e-10,0,4.2907711197727545e-10,0,1.4458695683376565e-09,0,2.354089273953435e-09,0,2.6956738517235942e-09,0
140,140,9846,100,0,0,7.200058407564727e-11,0,3.756616772424849e-10,0,3.569306634927312e-10,0,1.2028162376749314e-09,0,1.9582739102447346e-09,0,2.2442103479875797e-09,0
141,141,9846,100,0,0,5.988179906014495e-11,0,3.1236607510839196e-10,0,2.9684082250618294e-10,0,1.0003692599885187e-09,0,1.6286026732289968e-09,0,1.867864246580177e-09,0
142,142,9846,100,0,0,4.979048181539005e-11,0,2.5967191446862346e-10,0,2.468063703644663e-10,0,8.317906073005309e-10,0,1.3540969443069821e-09,0,1.5542269431165962e-09,0
143,143,9846,100,0,0,4.138968916629155e-11,0,2.1581513198322772e-10,0,2.0515577476880572e-10,0,6.914519058954497e-10,0,1.1255866968415258e-09,0,1.2929232629826275e-09,0
144,144,9846,100,0,0,3.439806263044803e-11,0,1.7932308284195924e-10,0,1.70493330345455e-10,0,5.746532562705552e-10,0,9.354150593903356e-10,0,1.0752811108826586e-09,0
145,145,9846,100,0,0,2.8580734425875015e-11,0,1.4896679255227532e-10,0,1.4165402323985534e-10,0,4.774713374235148e-10,0,7.771906648906404e-10,0,8.940544091046395e-10,0
